Year,State,Intentional homicide cases,Number of Cases
2014,Johor,Solving case,34
2014,Johor,Total cases,65
2015,Johor,Solving case,33
2015,Johor,Total cases,70
2016,Johor,Solving case,54
2016,Johor,Total cases,70
2017,Johor,Solving case,84
2017,Johor,Total cases,66
2018,Johor,Solving case,40
2018,Johor,Total cases,43
2019,Johor,Solving case,27
2019,Johor,Total cases,35
2020,Johor,Solving case,35
2020,Johor,Total cases,36
2021,Johor,Solving case,28
2021,Johor,Total cases,21
2014,Kedah,Solving case,9
2014,Kedah,Total cases,25
2015,Kedah,Solving case,19
2015,Kedah,Total cases,30
2016,Kedah,Solving case,16
2016,Kedah,Total cases,17
2017,Kedah,Solving case,14
2017,Kedah,Total cases,21
2018,Kedah,Solving case,8
2018,Kedah,Total cases,9
2019,Kedah,Solving case,16
2019,Kedah,Total cases,20
2020,Kedah,Solving case,13
2020,Kedah,Total cases,13
2021,Kedah,Solving case,10
2021,Kedah,Total cases,11
2014,Kelantan,Solving case,3
2014,Kelantan,Total cases,14
2015,Kelantan,Solving case,8
2015,Kelantan,Total cases,13
2016,Kelantan,Solving case,13
2016,Kelantan,Total cases,10
2017,Kelantan,Solving case,12
2017,Kelantan,Total cases,13
2018,Kelantan,Solving case,6
2018,Kelantan,Total cases,6
2019,Kelantan,Solving case,4
2019,Kelantan,Total cases,9
2020,Kelantan,Solving case,11
2020,Kelantan,Total cases,13
2021,Kelantan,Solving case,7
2021,Kelantan,Total cases,8
2014,Melaka,Solving case,6
2014,Melaka,Total cases,10
2015,Melaka,Solving case,3
2015,Melaka,Total cases,9
2016,Melaka,Solving case,13
2016,Melaka,Total cases,13
2017,Melaka,Solving case,8
2017,Melaka,Total cases,7
2018,Melaka,Solving case,9
2018,Melaka,Total cases,13
2019,Melaka,Solving case,6
2019,Melaka,Total cases,5
2020,Melaka,Solving case,6
2020,Melaka,Total cases,6
2021,Melaka,Solving case,6
2021,Melaka,Total cases,4
2014,Negeri Sembilan,Solving case,10
2014,Negeri Sembilan,Total cases,24
2015,Negeri Sembilan,Solving case,11
2015,Negeri Sembilan,Total cases,21
2016,Negeri Sembilan,Solving case,11
2016,Negeri Sembilan,Total cases,17
2017,Negeri Sembilan,Solving case,12
2017,Negeri Sembilan,Total cases,14
2018,Negeri Sembilan,Solving case,10
2018,Negeri Sembilan,Total cases,9
2019,Negeri Sembilan,Solving case,9
2019,Negeri Sembilan,Total cases,10
2020,Negeri Sembilan,Solving case,6
2020,Negeri Sembilan,Total cases,8
2021,Negeri Sembilan,Solving case,13
2021,Negeri Sembilan,Total cases,11
2014,Pahang,Solving case,15
2014,Pahang,Total cases,24
2015,Pahang,Solving case,6
2015,Pahang,Total cases,14
2016,Pahang,Solving case,10
2016,Pahang,Total cases,15
2017,Pahang,Solving case,14
2017,Pahang,Total cases,16
2018,Pahang,Solving case,7
2018,Pahang,Total cases,8
2019,Pahang,Solving case,16
2019,Pahang,Total cases,16
2020,Pahang,Solving case,8
2020,Pahang,Total cases,8
2021,Pahang,Solving case,9
2021,Pahang,Total cases,11
2014,Perak,Solving case,17
2014,Perak,Total cases,30
2015,Perak,Solving case,16
2015,Perak,Total cases,45
2016,Perak,Solving case,29
2016,Perak,Total cases,42
2017,Perak,Solving case,39
2017,Perak,Total cases,35
2018,Perak,Solving case,32
2018,Perak,Total cases,33
2019,Perak,Solving case,29
2019,Perak,Total cases,31
2020,Perak,Solving case,21
2020,Perak,Total cases,22
2021,Perak,Solving case,24
2021,Perak,Total cases,27
2014,Perlis,Solving case,1
2014,Perlis,Total cases,2
2015,Perlis,Solving case,0
2015,Perlis,Total cases,1
2016,Perlis,Solving case,0
2016,Perlis,Total cases,0
2017,Perlis,Solving case,2
2017,Perlis,Total cases,2
2018,Perlis,Solving case,1
2018,Perlis,Total cases,1
2019,Perlis,Solving case,1
2019,Perlis,Total cases,1
2020,Perlis,Solving case,2
2020,Perlis,Total cases,2
2021,Perlis,Solving case,2
2021,Perlis,Total cases,2
2014,Pulau Pinang,Solving case,19
2014,Pulau Pinang,Total cases,53
2015,Pulau Pinang,Solving case,21
2015,Pulau Pinang,Total cases,37
2016,Pulau Pinang,Solving case,26
2016,Pulau Pinang,Total cases,28
2017,Pulau Pinang,Solving case,13
2017,Pulau Pinang,Total cases,17
2018,Pulau Pinang,Solving case,22
2018,Pulau Pinang,Total cases,21
2019,Pulau Pinang,Solving case,13
2019,Pulau Pinang,Total cases,15
2020,Pulau Pinang,Solving case,15
2020,Pulau Pinang,Total cases,16
2021,Pulau Pinang,Solving case,13
2021,Pulau Pinang,Total cases,13
2014,Sabah ,Solving case,28
2014,Sabah ,Total cases,50
2015,Sabah ,Solving case,22
2015,Sabah ,Total cases,35
2016,Sabah ,Solving case,55
2016,Sabah ,Total cases,60
2017,Sabah ,Solving case,34
2017,Sabah ,Total cases,36
2018,Sabah ,Solving case,36
2018,Sabah ,Total cases,37
2019,Sabah ,Solving case,26
2019,Sabah ,Total cases,28
2020,Sabah ,Solving case,21
2020,Sabah ,Total cases,24
2021,Sabah ,Solving case,16
2021,Sabah ,Total cases,15
2014,Sarawak,Solving case,24
2014,Sarawak,Total cases,45
2015,Sarawak,Solving case,10
2015,Sarawak,Total cases,35
2016,Sarawak,Solving case,22
2016,Sarawak,Total cases,27
2017,Sarawak,Solving case,24
2017,Sarawak,Total cases,27
2018,Sarawak,Solving case,13
2018,Sarawak,Total cases,17
2019,Sarawak,Solving case,25
2019,Sarawak,Total cases,27
2020,Sarawak,Solving case,8
2020,Sarawak,Total cases,8
2021,Sarawak,Solving case,21
2021,Sarawak,Total cases,25
2014,Selangor,Solving case,65
2014,Selangor,Total cases,110
2015,Selangor,Solving case,56
2015,Selangor,Total cases,127
2016,Selangor,Solving case,67
2016,Selangor,Total cases,105
2017,Selangor,Solving case,74
2017,Selangor,Total cases,83
2018,Selangor,Solving case,75
2018,Selangor,Total cases,91
2019,Selangor,Solving case,74
2019,Selangor,Total cases,90
2020,Selangor,Solving case,58
2020,Selangor,Total cases,69
2021,Selangor,Solving case,70
2021,Selangor,Total cases,80
2014,Terengganu,Solving case,5
2014,Terengganu,Total cases,10
2015,Terengganu,Solving case,4
2015,Terengganu,Total cases,8
2016,Terengganu,Solving case,7
2016,Terengganu,Total cases,11
2017,Terengganu,Solving case,7
2017,Terengganu,Total cases,5
2018,Terengganu,Solving case,3
2018,Terengganu,Total cases,2
2019,Terengganu,Solving case,2
2019,Terengganu,Total cases,1
2020,Terengganu,Solving case,3
2020,Terengganu,Total cases,3
2021,Terengganu,Solving case,4
2021,Terengganu,Total cases,4
2014,W.P. Kuala Lumpur,Solving case,20
2014,W.P. Kuala Lumpur,Total cases,42
2015,W.P. Kuala Lumpur,Solving case,11
2015,W.P. Kuala Lumpur,Total cases,35
2016,W.P. Kuala Lumpur,Solving case,53
2016,W.P. Kuala Lumpur,Total cases,41
2017,W.P. Kuala Lumpur,Solving case,37
2017,W.P. Kuala Lumpur,Total cases,37
2018,W.P. Kuala Lumpur,Solving case,30
2018,W.P. Kuala Lumpur,Total cases,33
2019,W.P. Kuala Lumpur,Solving case,15
2019,W.P. Kuala Lumpur,Total cases,22
2020,W.P. Kuala Lumpur,Solving case,18
2020,W.P. Kuala Lumpur,Total cases,25
2021,W.P. Kuala Lumpur,Solving case,10
2021,W.P. Kuala Lumpur,Total cases,11
